OBJECTID,FEATURE_TYPE,INDUSTRY_ID,STATION_NAME,STATION_OWNER,STATION_DESCRIPTION,STATION_ADDRESS,STATION_SUBURB,STATION_POSTCODE,STATION_STATE,OPERATIONAL_STATUS,SPATIAL_CONFIDENCE,GNAF_ASSIGNMENT_METHOD,STATION_REVISED_DATE,GNAF_FORMATTED_ADDRESS,GNAF_ADDRESS_DETAIL_PID,GNAF_CONFIDENCE,GNAF_SUBURB,GNAF_POSTCODE,DISTANCE_TO_GNAF
1,PETROL STATION,,7-ELEVEN BRABHAM,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,3 MARVEL ENTRANCE,BRABHAM,6055,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,3 MARVEL ENTRANCE,GAWA_720891476,1,BRABHAM,6055,58
2,PETROL STATION,,DERBY TYRE & EXHAUST,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,46 CLARENDON STREET,DERBY,6728,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,46 CLARENDON STREET,GAWA_146991646,1,DERBY,6728,0
3,PETROL STATION,,UNITED BIBRA LAKE,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,13 WHYALLA COURT,BIBRA LAKE,6163,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,13 WHYALLA COURT,GAWA_147227521,1,BIBRA LAKE,6163,19.8
4,PETROL STATION,,COLES EXPRESS BUTLER,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,61 BUTLER BOULEVARD,BUTLER,6036,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,61 BUTLER BOULEVARD,GAWA_718869947,1,BUTLER,6036,6.9
5,PETROL STATION,,BP BEELIAR,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,701 BEELIAR DRIVE,COCKBURN CENTRAL,6164,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,701 BEELIAR DRIVE,GAWA_718295488,1,COCKBURN CENTRAL,6164,13.6
6,PETROL STATION,,COLES EXPRESS MOSMAN PARK,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,582 STIRLING HIGHWAY,MOSMAN PARK,6012,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,582 STIRLING HIGHWAY,GAWA_146709586,1,MOSMAN PARK,6012,19.3
7,PETROL STATION,,TOMEO'S SERVICE STATION,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1287 BROOKTON HIGHWAY,KARRAGULLEN,6111,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1287 BROOKTON HIGHWAY,GAWA_146714023,2,KARRAGULLEN,6111,33.5
8,PETROL STATION,,GLEN FORREST FUEL,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,20 GREAT EASTERN HIGHWAY,GLEN FORREST,6071,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,20 GREAT EASTERN HIGHWAY,GAWA_146714039,2,GLEN FORREST,6071,9.4
9,PETROL STATION,,CALTEX WOOLWORTHS KINGSLEY,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,86 KINGSLEY DRIVE,KINGSLEY,6026,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,86 KINGSLEY DRIVE,GAWA_146869101,1,KINGSLEY,6026,0.7
10,PETROL STATION,,SHELL WONTHELLA,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,115 NORTH WEST COASTAL HIGHWAY,WONTHELLA,6530,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,115 NORTH WEST COASTAL HIGHWAY,GAWA_149155814,1,WONTHELLA,6530,1.2
11,PETROL STATION,,CALTEX SEVILLE GROVE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,537 LAKE ROAD,SEVILLE GROVE,6112,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,537 LAKE ROAD,GAWA_147370177,1,SEVILLE GROVE,6112,0.9
12,PETROL STATION,,COLES EXPRESS WARWICK,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,274 ERINDALE ROAD,WARWICK,6024,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,274 ERINDALE ROAD,GAWA_146566669,1,WARWICK,6024,1.5
13,PETROL STATION,6669,BP BUNBURY SHOP FRONT,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 WETHERLY DRIVE,PICTON,6229,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,2 WETHERLY DRIVE,GAWA_163343713,0,PICTON,6229,51.6
14,PETROL STATION,,HILLS EMPORIO,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1615 CANNING ROAD,KARRAGULLEN,6111,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1615 CANNING ROAD,GAWA_146709988,1,KARRAGULLEN,6111,2.4
15,PETROL STATION,6172,BP CONNECT ROCKINGHAM PARK,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 CHALGROVE AVENUE,ROCKINGHAM,6168,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,2 CHALGROVE AVENUE,GAWA_146840742,0,ROCKINGHAM,6168,0.2
16,PETROL STATION,5837,BODDINGTON ,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,38 BANNISTER ROAD,BODDINGTON,6390,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,38 BANNISTER ROAD,GAWA_160792538,2,BODDINGTON,6390,14.2
17,PETROL STATION,,VICTORIA PARK,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,916 ALBANY HIGHWAY,VICTORIA PARK,6101,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,916 ALBANY HIGHWAY,GAWA_147692175,1,EAST VICTORIA PARK,6101,5.9
18,PETROL STATION,,BP NAVAL BASE,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1351 ROCKINGHAM ROAD,NAVAL BASE,6165,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1351 ROCKINGHAM ROAD,GAWA_147256206,1,NAVAL BASE,6165,30.7
