Address,Latitude,Longitude
"5/100 Eastern Rd, Bungarribee NSW 2767",-33.76847329990496,150.8652664967197
"Lot 25/ 2140 The Northern Rd, Luddehham NSW 2745",,
"17 STRANGWAYS ST, CURTIN ACT 2605",-35.32621871489134,149.08138739506805
"2 Oxley Highway, Ravenswood NSW 2824",-31.695949782516102,147.84045575176427
"Cnr Tharwa Drive & Norman Lindsay Street, Conder ACT 2906",-35.4592733,149.1043282
"48-56 Gardeners Road, Kingsford NSW 2032",-33.924309756261025,151.22787549774543
"3 DUNK PL, ORAN PARK NSW 2570",-33.99484225,150.72776874145728
"110 Anzac Parade & Goodwood Street, Kensington NSW 2033",51.4989948,-0.1991229
"57 URANA ST, LOCKHART NSW 2656",-35.22361875746914,146.71179373732514
"213-253 Parramatta Rd & Walker St, Five Dock NSW 2046",-33.8690024,151.1290231
"3 EDWARD ST, NORTH STAR NSW 2408",-28.9292275255866,150.3918210364964
"1466 Kyogle Rd, Uki NSW 2484",-28.41380685,153.3346842491029
"425 Crown Street, Wollongong West NSW 2500",-34.425917251412685,150.87580744483031
"15 Mawson Place, Mawson ACT 2607",-35.36555009883136,149.09390976735028
"18 Solander Road, Kings Langley NSW 2147",-33.75562492502466,150.94475848554126
"27-41 KING ST, WARRAWONG NSW 2502",-34.49511051090557,150.88883408751775
"4 Ryde Rd, Hunters Hill NSW 2110",-33.83054724126674,151.14083744518229
"920 Richmond Rd, Marsden Park NSW 2765",-33.7157355,150.8426435
"516 Punchbowl Rd, LAKEMBA NSW 2195",-33.91462302931014,151.0688385319431
"98 Park Road, Auburn NSW 2144",-33.859852528246485,151.02827622413272
"74-78 Auburn Road, Auburn NSW 2144",-33.85035044769036,151.0331494607002
"Cnr Bombala & Massie Streets, Cooma NSW 2630",-36.23563,149.1264221
"438 CROWN ST, WEST WOLLONGONG NSW 2500",-34.425917251412685,150.87580744483031
"47 Church St (Cnr Mortimer St), Mudgee NSW 2850",-32.5980702,149.5886383
"544 Pacific Hwy, Killara NSW 2071",-33.7697416,151.1599696
"65 Bexley Rd, Campsie NSW 2194",-33.92082043689635,151.106206611387
"451 Nth Liverpool Rd, Bonnyrigg NSW 2177",55.8751189,-3.1059076
"Mid Western Hwy & Nicholson Lane, Wyalong NSW 2671",-33.9267813,147.2458929
"85 MAIN ST, YOUNG NSW 2594",-34.31226873661476,148.29569999467063
"406 Pacific Hwy, BELMONT NORTH NSW 2280",-33.0247496,151.66237474425049
"2 GIDLEY ST, MOLONG NSW 2866",-33.09022285,148.86958621409403
"15 Clarencetown Road, Dungog NSW 2420",-32.347200900000004,151.62624385440475
"99 Bellevue Road, FIGTREE NSW 2525",-34.426313560793886,150.85248609701176
"521 Carrington Road, LONDONDERRY NSW 2753",-33.64571152860687,150.74087020147368
"99 Barrier Hwy, COBAR NSW 2835",-31.505077163108645,145.7719818695611
"Cnr. Denison & Molong St, Condobolin NSW 2877",-33.0880805,147.1479606
"28 Princes Highway, Arncliffe NSW 2205",-33.93684187920414,151.1496806988721
"13124 Hume Highway, Sutton Forest NSW 2577",-34.608135830577936,150.22609494695556
"133-137 Targo, Girraween NSW 2145",-33.799269399128015,150.95190047602154
"Corner Quondola Street & Bullara Street, Pambula NSW 2549",-36.928848,149.8752844
"87-89, Flinders Street, Port Kembla NSW 2505",-34.47300899342701,150.88699597706994
"632 Warringah Road, Forestville NSW 2087",-33.75506007317056,151.22212764684616
"572-576 Hume Hwy, CASULA NSW 2170",-33.9477626,150.90744495
"40 Industrial Drive, Mayfield NSW 2304",-32.89159955359307,151.7451341152057
"69 DAVIES RD, PADSTOW NSW 2211",-33.9529271,151.03819370000002
"100 NEWCASTLE ST, FYSHWICK ACT 2609",-35.324863786471475,149.1719987516217
"6 STEPHENS RD, CRESTWOOD NSW 2620",-35.34842067802609,149.20813346303675
"18-20 ZARA ST, GOOLGOWI NSW 2652",-33.97872095624071,145.7140112857877
"59 GORDON ST, PORT MACQUARIE NSW 2444",-31.434471653326913,152.90754819814214
"179-181 Mona Vale Rd, St Ives NSW 2075",-33.73284444542362,151.1555575178468
"5885 Tweed ValleyWay, Mooball NSW 2483",-28.4436015,153.491879
"162-166 Pioneer Rd, TOWRADGI NSW 2518",-34.384919692279574,150.90665381392478
"1370-1380 Camden Valley Hwy, LEPPINGTON NSW 2179",-33.9650028,150.8011028
"72 Thorney Rd, FAIRFIELD WEST NSW 2165",-33.87366575,150.92421334734468
"89-91 CHURCH ST, GLOUCESTER NSW 2422",-32.0085421,151.9579251
"86-88 MAITLAND RD, MAYFIELD NSW 2304",-32.89613837558291,151.73510276085025
"106 EDWARD ST, WAGGA WAGGA NSW 2650",-35.11863692136161,147.36732675715888
"Lot 1 Ben Lomond Road, MINTO NSW 2566",-34.02783368076821,150.84085988824435
"2637 Irrigation Way, Leeton NSW 2705",-34.517712637572906,146.27378492126573
"16 BALLINA RD, LISMORE NSW 2480",-28.814308355990217,153.27971622811884
"Hume Highway, Marulan North NSW 2579",,
"159 ROUSE ST, TENTERFIELD NSW 2372",-29.049753592818437,152.01983896131023
"152-158 Princes Hwy, Dapto NSW 2530",-34.496177700000004,150.7923250656537
"45 ROOKWOOD RD, YAGOONA NSW 2199",-33.90280351587151,151.03696456703258
"133-137 Cary St, Toronto NSW 2283",-33.01295651321346,151.5931419570996
"518 Rocky Point Road, Sans Souci NSW 2219",-34.00413357288782,151.12834412042315
"297-299 Bunnerong Road, Pagewood NSW 2035",-33.93826978477322,151.22924415175004
"66 Captain Cook Drive, Caringbah NSW 2229",-34.03282607375231,151.12678113761893
"22 Charlotte Street, ASHFIELD NSW 2131",-33.884813766659356,151.12716359275183
"50-52 Ocean Beach Rd (Cnr Rawson St), Woy Woy NSW 2256",-33.4880548,151.3274925
"1389 Camden Valley Way, LEPPINGTON NSW 2179",-33.9922682,150.78899545000002
"787 MEDOWIE RD, MEDOWIE NSW 2318",-32.7398716,151.8672559
"133 CESSNOCK RD, NEATH NSW 2326",-32.827079844312856,151.40814486629662
"107 ANDERSON DR, TARRO NSW 2322",-32.8076023,151.65885387765542
"119 NEW ENGLAND HWY, WILLOW TREE NSW 2339",-31.674030619020836,150.7476851047904
"1-3 CHURCH ST, PORT KEMBLA NSW 2505",-34.48496514660182,150.90383011895025
"321 MILES FRANKLIN DR, TALBINGO NSW 2720",-35.58892702103646,148.28328932612544
"214 SYDNEY RD, KELSO NSW 2795",-33.41947140501427,149.61370434271274
"475 Cleveland St, Redfern NSW 2016",-33.88916175330202,151.2014674777517
"121 Banna Avenue, Griffith NSW 2680",-34.28697595936215,146.03801312260424
"30 Hovell Street, COOTAMUNDRA NSW 2590",-34.64814177806074,148.02248413151997
"102-104 Queen Elizabeth Drive, Coraki NSW 2471",-28.992315221587344,153.28193990783336
"12B Oatley Parade, Oatley NSW 2223",-33.9834663847237,151.07914011331658
"257 Guildford Rd, GUILDFORD NSW 2161",-33.854161363157644,150.9868741394422
"153 Coreen Ave Cnr Castlereagh Rd, Penrith NSW 2750",54.6639133,-2.7522047
"398 Merrylands Rd (Cnr Fowler Rd), Merrylands NSW 2160",-33.8350765,150.9860379
"23-27 Stockton St, Nelson Bay NSW 2315",-32.722805267198005,152.14334732316152
"45 Hambledon Road, Quakers Hill NSW 2763",-33.714830250875,150.89287586433082
"73-81 Marrickville Road, Marrickville NSW 2204",-33.914997290151376,151.16423284094492
"108 Sirus Drive, Lakewood NSW 2443",39.7085736,-105.0846694
"4 High Street, Wauchope NSW 2446",-31.45805785,152.7352837975937
"39 Alexandra St, GRENFELL NSW 2810",-33.88609747567923,148.15749101949027
"Corner Crown & Darling Streets, West Wollongong NSW 2500",-34.4242537,150.8673533
"102 Maloney St, Eastlakes NSW 2018",-33.923576692193734,151.20694877705597
"419-437 Goonoo-Goonoo Road, Tamworth NSW 2340",-31.111785224186235,150.92335003447727
"67 Wallarah Rd (Cnr Edith St), Gorokan NSW 2263",-33.2562494,151.5140288
"105 Wyee Road, WYEE NSW 2259",-33.18240927975115,151.48755999650885
"16 Marine Parade, STUARTS POINT NSW 2441",-30.8209569,152.993707
"Cnr Thirlmere Way & Remembrance Drive, Tahmoor NSW 2573",-34.2253646,150.5907489
"95 BALLANTRAE DR, ST ANDREWS NSW 2566",-34.02035535615191,150.82804714236454
"91 Glossop St, North St Marys NSW 2760",-33.759370086017896,150.78125699831372
"62 Deering Street, ULLADULLA NSW 2539",-35.36219852843037,150.47187958238442
"153 Princess Highway, ULLADULLA NSW 2539",-35.3621503,150.4751713
"90 Victoria St, TEMORA NSW 2666",-34.447673461172776,147.54361080828048
"84 Miller Street, Gilgandra NSW 2827",-31.70773352638746,148.67116940274536
144 Meade St Glenn Innes NSW 2370,-29.7385108,151.7357523
"2355 Camden Valley Way (Corner Beech Road), Casula NSW 2170",-33.9522222,150.8952778
"88 - 92 Clinton Street, Goulburn NSW 2580",-34.75248879741018,149.70605865942045
"15-17 CASTLEREAGH ST, GILGANDRA NSW 2827",-31.712504681404134,148.66699333207748
"630 Forest Road, BEXLEY NSW 2207",-33.95282796349998,151.1218117817768
"112 Kalander Street, East Nowra NSW 2541",-34.88222519999999,150.60794766136397
"320 Lane Cove Road, North Ryde NSW 2113",-33.7923334,151.1201602
"174 Woodward Street, Orange NSW 2800",-33.2786666,149.08794142899114
"178-184 Victoria Road (Corner Moodie Street), Rozelle NSW 2039",-33.8645002,151.1743543
"42 Ambrose Street, CAREY BAY NSW 2283",-33.02285997778349,151.60503490630919
"105 St. James rd., New Lambton NSW 2302",-32.933102841488676,151.7203346059656
"41-43 ADAMS ST, GOODOOGA NSW 2838",-29.115823545765824,147.4506406921766
"Corner Pacific Highway & London Drive, Wadalba NSW 2259",-33.2733333,151.4677778
"126-130 Broadway St, JUNEE NSW 2663",-34.81502565,147.6726749913009
"2656 Waterfall Way, THORA NSW 2454",-30.425048,152.77870053177966
"35 River Street, Woolgoolga NSW 2456",-30.1145766,153.1930111
"412-416 Maitland Road & Frith Street, Mayfield West NSW 2304",-32.890084,151.7262824
"9 Armidale Road, Coutts Crossing NSW 2460",-29.828176550000002,152.8913991881443
"Cnr Pacific Hwy & Old M'Land, Hexham NSW 2322",54.971478,-2.1017927
"7  Wyangan Avenue, Griffith NSW 2680",-34.277144540859936,146.03966485497824
"UNIT 1 105 BENT ST, SOUTH GRAFTON NSW 2460",-29.7130224,152.9374417
"186 Pacific Highway, Tuggerah NSW 2259",-33.2942415,151.4222523
"345 Avoca Street, RANDWICK NSW 2031",-33.92065243111525,151.24043273282788
"84 MacQuoid Street, QUEANBEYAN EAST NSW 2620",-35.35117807861385,149.2407660283097
"1563 WISEMANS FERRY RD, MAROOTA NSW 2756",-33.50350901045278,150.95470868881114
"50-54 Riverside Drive, Nambucca Heads NSW 2448",-30.652262,152.99158345188704
"88 Centre St (Cnr Richmond St), Casino NSW 2470",53.450634,-6.1583261
"26 HOUTMAN ST, EAST WAGGA WAGGA NSW 2650",-35.12518205,147.40153435000002
"365 MAIN RD, NORAVILLE NSW 2263",-33.26816197761814,151.55411287777082
"2 TRANSPORT DR, BROCKLEHURST NSW 2830",-32.18299032135235,148.6205155449625
"81 Victoria Road & Macarthur Street, Parramatta NSW 2150",-33.8139843,151.002666
"656 WARRINGAH RD, FORESTVILLE NSW 2087",-33.76059899482102,151.21483745161882
"39-41 Mustang Avenue, Canberra Airport ACT 2609",-35.304391,149.1936903
"16 Princes Highway, NAROOMA NSW 2546",-36.27607287300152,150.12664233289112
"227 Military Rd, Cremorne NSW 2090",-33.828608140596685,151.2291258474425
"210 High Street, WAUCHOPE NSW 2446",-31.4666056,152.7191446
"67 STEWART AV, HAMILTON SOUTH NSW 2303",-32.93083034609292,151.75411154604225
"449 Great Western Highway, WENTWORTHVILLE NSW 2145",-33.816048931003735,150.97204916201127
"21 Maitland Road, Hexham NSW 2322",-32.8183063612938,151.67968320203556
"67 Shepherds Dr, CHERRYBROOK NSW 2126",-33.720658099999994,151.04517835951808
"61 Railway Avenue, BUNDANOON NSW 2578",-34.6552621,150.30400023807397
"71 Appin Road, Appin NSW 2560",-34.160840435173405,150.78960154951938
"98 PARK RD, AUBURN NSW 2144",-33.859852528246485,151.02827622413272
"164 TONGARRA RD, ALBION PARK NSW 2527",-34.5711553,150.7699356
"2 Lagoon St, Guyra NSW 2365",-30.216935137428298,151.66732909205987
"1131 Great Western Hwy, LITHGOW NSW 2790",-33.43852721635969,150.11357212019664
"963 Old Princes Hwy, Engadine NSW 2233",-34.06462180794637,151.0168954267246
"1-5 James St, NARRABRI NSW 2390",-30.330072207943388,149.79356170823962
"136 Woodlark St, LISMORE NSW 2480",-28.807201000069227,153.2783528573623
"24 Murray Road, WINGHAM NSW 2429",-31.867594738999042,152.35521972929757
"636-644 Woodville Rd, OLD GUILDFORD NSW 2161",-33.8636111,150.9844444
"122 PRINCES HWY, BODALLA NSW 2545",-36.0938702,150.0518816
"21 ABBOTT ST, GUNNEDAH NSW 2380",-30.980582400000003,150.25535215
"23-25 Cardigan Street, TULLAMORE NSW 2874",-32.63609555372818,147.56403344662192
"112 Minjungbal Dr, TWEED HEADS SOUTH NSW 2486",-28.197393840095756,153.54365623104295
"76 Glossop Street, St Marys NSW 2760",-33.77018524916999,150.77969089526738
"99 Diadem Street, Lismore NSW 2480",-28.81189965,153.2871006072677
"20 LACHLAN ST, CONDOBOLIN NSW 2877",-33.09035635544849,147.14821316200621
"102 Gregory Street, South West Rocks NSW 2431",-30.911064001090555,153.043549929126
"262 Maitland Rd (Pacific Highway), Islington NSW 2296",51.5384287,-0.0999051
"1642 The Horsley Dr, Horsley Park NSW 2164",-33.84388475,150.8631951019209
"44 Hume Highway & Knight Street, Lansvale South NSW 2166",-33.9003985,150.9510782
"923 Ocean Drive, Bonny Hills NSW 2445",-31.584846136162774,152.83229750439028
"101 Mooney St, Telegraph Point NSW 2441",-31.3282875,152.7916674
"24-26 Hyde Street, Bellingen NSW 2454",-30.45282915,152.89934469788165
"2-4 Banyette Street (Cnr Station St), Bowral NSW 2576",-34.4816626,150.4177868
"223 Sheridan Street, Gundagai NSW 2722",-35.0624283179367,148.0998819406317
"54 Deniliquin Road, Tocumwal NSW 2714",-35.810750145147644,145.56154642852354
"1612 Golden Highway, SANDY HOLLOW NSW 2333",-32.3318,150.5679
"14 Thomas St, Wallsend NSW 2287",-32.9073039,151.66695915000003
"SHOP 8 24 LAGONDA DR, INGLEBURN NSW 2565",-33.9983333,150.8511111
"9297 MOUNT LINDESAY RD, LEGUME NSW 2476",-28.41219022562337,152.34575546627062
"2 CADONIA RD, TUGGERAWONG NSW 2259",-33.27960210585041,151.48462126769795
"144 Wentworth Street, Port Kembla NSW 2505",-34.48205969033255,150.90263902142814
"13 Midkin St, GARAH NSW 2405",-29.076056605664526,149.63499974762135
