Address,Latitude,Longitude
"295 Woodville Rd, Guildford NSW 2161",-33.85880012807266,150.99394160065177
"139 Great Western Highway (Corner Layton Avenue), Blaxland NSW 2774",-33.7460755,150.6092697
"30-32 Mirrool Ave, YENDA NSW 2681",-34.25121723468989,146.19773761434067
"5558 Old Northern Road, WISEMANS FERRY NSW 2775",-33.3849376,150.9860427
"2 LONSDALE ST, BRADDON ACT 2612",-35.2738949,149.13267665
"1-3 Tapio Street, Dareton NSW 2717",-34.094650619725776,142.04446896810603
"87-91 ROBERTS RD, GREENACRE NSW 2190",-33.892658501109835,151.06674148890502
"84 MacQuoid Street, QUEANBEYAN EAST NSW 2620",-35.35117807861385,149.2407660283097
"119 Binnia St, COOLAH NSW 2843",-31.82831345150432,149.71506663470146
"10 Limestone Drive, Jerrabomberra NSW 2619",-35.37985225,149.2007195
"545 Union Rd, NORTH ALBURY NSW 2640",-36.0512888,146.9212283
"172 Hector St, CHESTER HILL NSW 2162",-33.884615249999996,151.00661715
"122 High St, GRETA NSW 2334",-32.6785651805763,151.39011903265236
"341 Princes Hwy, Bomaderry NSW 2541",-34.845688550000006,150.59471882554078
"36 LONSDALE ST, BRADDON ACT 2612",-35.2709468,149.13355206995197
"63 Maitland Street, Bingara NSW 2404",-29.8709631,150.5728849
"948-950 Canterbury Rd, Roselands NSW 2196",-33.9282723,151.0781346832881
"65 Bexley Rd, Campsie NSW 2194",-33.92082043689635,151.106206611387
"Kulnura LPO 4 Greta Rd, KULNURA NSW 2250",-33.2316667,151.2177778
"5 Rosemeath Road, Bombala NSW 2632",-36.931189249461816,149.23727709989538
"34 APPIN RD, APPIN NSW 2560",-34.160840435173405,150.78960154951938
