Month,Product,SalesValue,FuelCode
Jul 2010,Regular (<95 RON) (ML),1016.7,U91
Aug 2010,Regular (<95 RON) (ML),983.1,U91
Sep 2010,Regular (<95 RON) (ML),891.4,U91
Oct 2010,Regular (<95 RON) (ML),1009.0,U91
Nov 2010,Regular (<95 RON) (ML),986.8,U91
Dec 2010,Regular (<95 RON) (ML),1004.0,U91
Jan 2011,Regular (<95 RON) (ML),845.5,U91
Feb 2011,Regular (<95 RON) (ML),934.9,U91
Mar 2011,Regular (<95 RON) (ML),963.8,U91
Apr 2011,Regular (<95 RON) (ML),903.7,U91
May 2011,Regular (<95 RON) (ML),925.6,U91
Jun 2011,Regular (<95 RON) (ML),886.9,U91
Jul 2011,Regular (<95 RON) (ML),955.3,U91
Aug 2011,Regular (<95 RON) (ML),981.1,U91
Sep 2011,Regular (<95 RON) (ML),883.4,U91
Oct 2011,Regular (<95 RON) (ML),919.0,U91
Nov 2011,Regular (<95 RON) (ML),984.0,U91
Dec 2011,Regular (<95 RON) (ML),1001.0,U91
Jan 2012,Regular (<95 RON) (ML),884.9,U91
Feb 2012,Regular (<95 RON) (ML),942.8,U91
Mar 2012,Regular (<95 RON) (ML),945.9,U91
Apr 2012,Regular (<95 RON) (ML),872.5,U91
May 2012,Regular (<95 RON) (ML),957.3,U91
Jun 2012,Regular (<95 RON) (ML),880.3,U91
Jul 2012,Regular (<95 RON) (ML),934.2,U91
Aug 2012,Regular (<95 RON) (ML),954.3,U91
Sep 2012,Regular (<95 RON) (ML),873.1,U91
Oct 2012,Regular (<95 RON) (ML),926.5,U91
Nov 2012,Regular (<95 RON) (ML),933.6,U91
Dec 2012,Regular (<95 RON) (ML),963.9,U91
Jan 2013,Regular (<95 RON) (ML),904.7,U91
Feb 2013,Regular (<95 RON) (ML),913.8,U91
Mar 2013,Regular (<95 RON) (ML),971.5,U91
Apr 2013,Regular (<95 RON) (ML),907.6,U91
May 2013,Regular (<95 RON) (ML),931.1,U91
Jun 2013,Regular (<95 RON) (ML),909.6,U91
Jul 2013,Regular (<95 RON) (ML),939.7,U91
Aug 2013,Regular (<95 RON) (ML),952.1,U91
Sep 2013,Regular (<95 RON) (ML),869.0,U91
Oct 2013,Regular (<95 RON) (ML),921.1,U91
Nov 2013,Regular (<95 RON) (ML),912.0,U91
Dec 2013,Regular (<95 RON) (ML),951.1,U91
Jan 2014,Regular (<95 RON) (ML),873.0,U91
Feb 2014,Regular (<95 RON) (ML),875.1,U91
Mar 2014,Regular (<95 RON) (ML),899.0,U91
Apr 2014,Regular (<95 RON) (ML),876.9,U91
May 2014,Regular (<95 RON) (ML),880.7,U91
Jun 2014,Regular (<95 RON) (ML),834.7,U91
Jul 2014,Regular (<95 RON) (ML),920.2,U91
Aug 2014,Regular (<95 RON) (ML),925.0,U91
Sep 2014,Regular (<95 RON) (ML),859.8,U91
Oct 2014,Regular (<95 RON) (ML),902.9,U91
Nov 2014,Regular (<95 RON) (ML),877.0,U91
Dec 2014,Regular (<95 RON) (ML),944.3,U91
Jan 2015,Regular (<95 RON) (ML),852.7,U91
Feb 2015,Regular (<95 RON) (ML),861.9,U91
Mar 2015,Regular (<95 RON) (ML),904.8,U91
Apr 2015,Regular (<95 RON) (ML),861.6,U91
May 2015,Regular (<95 RON) (ML),877.4,U91
Jun 2015,Regular (<95 RON) (ML),850.9,U91
Jul 2015,Regular (<95 RON) (ML),922.7,U91
Aug 2015,Regular (<95 RON) (ML),914.8,U91
Sep 2015,Regular (<95 RON) (ML),866.3,U91
Oct 2015,Regular (<95 RON) (ML),902.9,U91
Nov 2015,Regular (<95 RON) (ML),873.0,U91
Dec 2015,Regular (<95 RON) (ML),951.9,U91
Jan 2016,Regular (<95 RON) (ML),847.7,U91
Feb 2016,Regular (<95 RON) (ML),895.4,U91
Mar 2016,Regular (<95 RON) (ML),898.9,U91
Apr 2016,Regular (<95 RON) (ML),845.8,U91
May 2016,Regular (<95 RON) (ML),860.6,U91
Jun 2016,Regular (<95 RON) (ML),831.0,U91
Jul 2016,Regular (<95 RON) (ML),895.5,U91
Aug 2016,Regular (<95 RON) (ML),906.7,U91
Sep 2016,Regular (<95 RON) (ML),844.6,U91
Oct 2016,Regular (<95 RON) (ML),872.9,U91
Nov 2016,Regular (<95 RON) (ML),890.4,U91
Dec 2016,Regular (<95 RON) (ML),936.2,U91
Jan 2017,Regular (<95 RON) (ML),839.6,U91
Feb 2017,Regular (<95 RON) (ML),865.0,U91
Mar 2017,Regular (<95 RON) (ML),898.7,U91
Apr 2017,Regular (<95 RON) (ML),813.6,U91
May 2017,Regular (<95 RON) (ML),873.4,U91
Jun 2017,Regular (<95 RON) (ML),821.4,U91
Jul 2017,Regular (<95 RON) (ML),854.4,U91
Aug 2017,Regular (<95 RON) (ML),851.4,U91
Sep 2017,Regular (<95 RON) (ML),807.2,U91
Oct 2017,Regular (<95 RON) (ML),822.1,U91
Nov 2017,Regular (<95 RON) (ML),843.0,U91
Dec 2017,Regular (<95 RON) (ML),895.0,U91
Jan 2018,Regular (<95 RON) (ML),842.7,U91
Feb 2018,Regular (<95 RON) (ML),800.4,U91
Mar 2018,Regular (<95 RON) (ML),881.6,U91
Apr 2018,Regular (<95 RON) (ML),800.1,U91
May 2018,Regular (<95 RON) (ML),858.1,U91
Jun 2018,Regular (<95 RON) (ML),812.7,U91
Jul 2018,Regular (<95 RON) (ML),839.0,U91
Aug 2018,Regular (<95 RON) (ML),853.1,U91
Sep 2018,Regular (<95 RON) (ML),804.6,U91
Oct 2018,Regular (<95 RON) (ML),867.3,U91
Nov 2018,Regular (<95 RON) (ML),866.1,U91
Dec 2018,Regular (<95 RON) (ML),854.7,U91
Jan 2019,Regular (<95 RON) (ML),787.2,U91
Feb 2019,Regular (<95 RON) (ML),761.3,U91
Mar 2019,Regular (<95 RON) (ML),829.6,U91
Apr 2019,Regular (<95 RON) (ML),791.1,U91
