,ServiceStationName,Address,Suburb,Postcode,Brand,FuelCode,PriceUpdatedDate,Price
0,Costco Canberra Airport (Members Only),"39-41 Mustang Avenue, Canberra Airport ACT 2609",Canberra Airport,2609,Costco,U91,2024-01-01,168.7
1,Costco Canberra Airport (Members Only),"39-41 Mustang Avenue, Canberra Airport ACT 2609",Canberra Airport,2609,Costco,P98,2024-01-01,189.7
2,Costco Canberra Airport (Members Only),"39-41 Mustang Avenue, Canberra Airport ACT 2609",Canberra Airport,2609,Costco,PDL,2024-01-01,177.7
3,Costco Casula (Members only),"20 Parkersfarm Place, Casula NSW 2170",Casula,2170,Costco,E10,2024-01-01,164.7
4,Costco Casula (Members only),"20 Parkersfarm Place, Casula NSW 2170",Casula,2170,Costco,P98,2024-01-01,188.7
5,Costco Casula (Members only),"20 Parkersfarm Place, Casula NSW 2170",Casula,2170,Costco,PDL,2024-01-01,176.7
6,Costco Lake Macquarie (Members only),"1 CRESSY RD, BOOLAROO NSW 2284",BOOLAROO,2284,Costco,E10,2024-01-01,166.7
7,Costco Lake Macquarie (Members only),"1 CRESSY RD, BOOLAROO NSW 2284",BOOLAROO,2284,Costco,P98,2024-01-01,188.7
8,Costco Lake Macquarie (Members only),"1 CRESSY RD, BOOLAROO NSW 2284",BOOLAROO,2284,Costco,PDL,2024-01-01,178.7
9,Costco Marsden Park (Members only),"10 Langford Drive, MARSDEN PARK NSW 2765",MARSDEN PARK,2765,Costco,E10,2024-01-01,168.7
10,Costco Marsden Park (Members only),"10 Langford Drive, MARSDEN PARK NSW 2765",MARSDEN PARK,2765,Costco,P98,2024-01-01,189.7
11,Costco Marsden Park (Members only),"10 Langford Drive, MARSDEN PARK NSW 2765",MARSDEN PARK,2765,Costco,PDL,2024-01-01,180.7
12,BP Rockdale,"444 West Botany Street, ROCKDALE NSW 2216",ROCKDALE,2216,BP,E10,2024-01-01,184.9
13,BP Rockdale,"444 West Botany Street, ROCKDALE NSW 2216",ROCKDALE,2216,BP,U91,2024-01-01,187.9
14,BP Rockdale,"444 West Botany Street, ROCKDALE NSW 2216",ROCKDALE,2216,BP,P95,2024-01-01,203.9
15,BP Rockdale,"444 West Botany Street, ROCKDALE NSW 2216",ROCKDALE,2216,BP,P98,2024-01-01,209.9
16,Enhance Waratah,"51 LAMBTON RD, WARATAH NSW 2298",WARATAH,2298,Enhance,DL,2024-01-01,187.9
17,Enhance Lugarno,"1046 FOREST RD, LUGARNO NSW 2210",LUGARNO,2210,Enhance,E10,2024-01-01,186.9
18,Enhance Lugarno,"1046 FOREST RD, LUGARNO NSW 2210",LUGARNO,2210,Enhance,U91,2024-01-01,188.9
19,Enhance Lugarno,"1046 FOREST RD, LUGARNO NSW 2210",LUGARNO,2210,Enhance,P98,2024-01-01,208.9
20,Metro Peakhurst,"114 Boundary Road, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel,E10,2024-01-01,185.9
